gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,avg_charges_per_month,num_services,is_new_customer,tenure_bin,TotalServices,IsFiber,ContractRisk,SpendRatio,LongTenure,NeedsSupportNo,AutoPayment
Female,0,Yes,No,1,No,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,29.85,29.85,1,1,0-3,1,0,2,0.967585089,0,1,0
Male,0,No,No,34,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95,1889.5,55.57352941,3,0,25-48,2,0,1,0.030124306,1,1,0
Male,0,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,54.075,3,1,0-3,2,0,2,0.493357765,0,1,0
Male,0,No,No,45,No,No,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.3,1840.75,40.90555556,3,0,25-48,3,0,1,0.022967287,1,0,1
Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,75.825,1,1,0-3,0,1,2,0.463150999,0,1,0
Female,0,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,102.5625,5,0,07-Dec,4,1,2,0.121302495,0,1,0
Male,0,No,Yes,22,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,88.60909091,4,0,13-24,3,1,2,0.045682937,1,1,1
Female,0,No,No,10,No,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,301.9,30.19,1,0,07-Dec,1,0,2,0.098217233,0,1,0
Female,0,Yes,No,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,108.7875,6,0,25-48,5,1,2,0.034393922,1,0,0
Male,0,No,Yes,62,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.15,3487.95,56.25725806,3,0,49-72,2,0,1,0.016093667,1,1,1
Male,0,Yes,Yes,13,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,587.45,45.18846154,2,0,13-24,1,0,2,0.084884017,1,1,0
